site_product_cd,product_nm,review_n,발색,커버력,밀착력_지속력,세정력,향,흡수력,보습력,안티에이징_미백,천연,휴대성,가성비,사용편리성
P00001221,크리미 틴트 컬러 밤 인텐스,138,5,1.7,3.1,2,1.2,1.1,1,2,0.8,3.2,2.5,2.1
SPR20170825000032043,노세범 미네랄 파우더,96,1.6,2.6,2.8,1.7,1.5,1,0.8,1.7,0.9,4.5,2.8,2.3
SPR20170315000028211,블랙 쿠션 SPF34/PA++,88,2.6,3.2,3.6,2,1.2,2.1,1.2,1,1,2.2,1,1.6
P00001882,로즈워터 토너,84,1.3,2.2,1.2,1.7,2.4,1.7,1.9,1.4,1.4,2.8,2.9,1.5
P00004406,퍼펙트 세럼 7종 택1,59,1.1,1.6,2,1.5,1.9,1.6,1.1,2.9,1.3,2.7,3.1,1.2
SPR20170801000031216,더마 리페어 시카크림,56,2,3,1.9,2.7,1.9,3.2,2.4,3.1,3.2,1.9,1,1.4
000025910,윤조에센스,35,2,2.2,1.1,0,2.7,2.6,2.6,2,1.8,2,0.6,1.4
SPR20170711000030734,[온라인 단독] 크리미 틴트 컬러 밤_미니,35,5,0,2.1,0,0,1,0.6,0.9,0.6,5,3.8,1.6
SPR20170828000032092,더블 래스팅 파운데이션 NEW SPF34/PA++,30,3.6,4.3,4.1,1.9,0.4,1.3,0.6,1.3,1.1,3,2,1.1
000025045,오가니언스 워터,26,1.5,3.5,1.9,2.4,3.1,3.3,2,2.9,3,1.7,1.1,1.6
SPR20150619000009663,크리미 틴트 컬러 밤 라이트,25,5,1.6,2,3.2,0,0.8,0,5,1,2.1,2.7,1.7
P00004191,셀 에센스,21,1,1.7,2.3,1.6,0.6,2.2,2.8,1.6,1.4,0,1,1.7
SPR20150421000008413,커버 파운데이션 SPF 15 PA+,20,3,5,3.8,1.8,2.5,1.9,1.3,0.9,1.2,0,1.7,2.3
SPR20170825000032057,글로우 온 베이스 오일볼륨,19,2.3,1.6,2.5,1.3,1.2,0.8,0.6,1.7,1,0,5,1.3
000025466,[NEW] 알파인 베리 워터리 크림,17,1.2,0,1.7,0,1.6,2.6,3.7,2.2,2.1,1.7,1.2,1.5
SPR20161025000024341,립 슬리핑 마스크,16,1.5,0,1.9,1.7,2.4,1.8,1.9,2.5,0.8,2.4,0.4,2.4
SPR20170816000031648,더 그린티 씨드 세럼,16,1,1.7,1.5,1.4,1.4,2.2,3.4,2.4,2.7,1.7,0.7,2.3
000025041,페이셜 마일드 필링,15,0.9,1.7,0,2.3,3.8,1.7,3,2.1,3.6,1.8,1.1,1.7
P00001202, 팡팡 헤어 섀도우,15,4,2.7,2.8,2.7,0.8,0.9,0,0,1.3,5,1.7,5
P00004922,UV 미스트 쿠션 커버 SPF50+/PA+++,15,2.1,1.7,3.4,1.4,1.2,1.3,2.3,0.9,0.9,1.7,0.7,1.6
SPR20150323000007984,어린쑥 수분진정크림,14,2,0,1.9,3.2,2.9,2.9,1.8,2.2,2.7,0,1.5,0
SPR20170804000031370,닥터마스카라 픽서 ,14,2.3,2,2.6,3.3,0,0.8,0,1.8,1.2,0,2.5,0
P00005040, 퍼펙팅쿠션 SPF50+/PA+++,13,2,2,2.5,2.5,1.1,1.7,1.6,1.3,0.9,1.7,0.3,1.6
SPR20170818000031737,제주 한란 인리치드 크림,13,3.5,1.7,1.9,1.2,3.5,3.2,2.9,3.9,3.8,2.7,1.7,1.6
P00000673,워터 슬리핑 마스크,12,2.1,3.5,1.9,1.5,1.3,2.7,2.4,2,1.6,1.8,1.2,1.6
SPR20150323000007983,어린쑥 수분 진정수 ,11,1.4,1.6,1.8,1.2,4.6,2.7,2.7,2.5,3.3,3.5,2.8,1
SPR20150825000010927,슈퍼바이탈 크림 리치,11,1.2,0,1,2.5,2.6,3.7,3.5,5,4.2,1.7,3.8,2.3
SPR20160316000016691,하이라이트 립 틴트,11,5,0,1.9,5,1.5,2.4,0.9,1,3.2,1.7,0.6,2.5
SPR20170417000028910, 브라이트닝 커버 워터리 쿠션 ,11,2.3,5,2.5,1.2,1.3,3.1,2.8,2.5,0.9,0,0.6,0
P00004522,[대용량] 슈퍼 스프라우트 세럼,10,0,0,0,1.2,1.9,2.6,2.4,3.6,5,0,0.7,1.1
SPR20150917000011662,세라마이드 아토 로션,10,1.8,1.7,2.1,1.3,2,3.5,1.7,1.7,2.9,0,1.4,0
000025046,오가니언스 에멀젼,9,1.7,2,1.9,2.1,4,4.5,3.5,2.4,4,0,1.7,0
000025831,옥용팩,9,1,1.7,0.9,3.6,1.7,2.8,1.3,1.4,2.2,0,1.9,0
P00004000,쌀 진액 스킨,9,2.4,5,1.9,2.7,2.7,3.6,4.3,3.9,5,0,1.9,2.1
SPR20150223000007263,브라이트닝 커버 파우더 쿠션,9,3.7,3.5,4,1.3,0.9,2,1.3,0.9,0.8,1.7,1,2.2
SPR20170321000028394,에어쿠션® 내추럴,9,1.4,0,2.6,0,0,0.9,0,0,1.2,0,0.4,1.9
SPR20170823000031948,루즈 홀릭 샤인,9,5,0,2.9,2.5,1,0.8,0,0,0.6,0,0.4,0
SPR20161227000025874,하이라이트 립 틴트 글로우,8,5,1.7,3,0,1.5,2.2,0.6,0,0.7,1.7,1.9,3
SPR20170418000028957, 자연을 닮은 립밤 ,8,5,0,2.3,1.3,3.7,2.2,3,1.6,2.1,1.7,1.2,1.6
