"rown","doc_topic","maxProb"
1,3,0.985255889437893
2,3,0.89154933666757
3,3,0.982159067811898
4,2,0.951766452764165
5,9,0.96501171737675
6,4,0.992106575890032
7,3,0.801405276953496
8,2,0.987436633411207
9,3,0.592802827597416
10,5,0.468749593058937
11,10,0.995908611715862
12,9,0.979254120932699
13,3,0.554182788148698
14,3,0.634032901791336
15,3,0.429290131396724
16,3,0.96501171737675
17,7,0.991854253887515
18,2,0.987436633411207
19,10,0.992777725720989
20,3,0.982159067811898
21,10,0.977415458811458
22,10,0.996212654332283
23,8,0.994610668592337
24,9,0.507247323250218
25,3,0.988564245365977
26,1,0.993827395087723
27,3,0.972549746296818
28,2,0.986785112565906
29,3,0.905596583494713
30,3,0.750430643404355
31,3,0.596534597851808
32,3,0.771793751775645
33,3,0.557162616121657
34,3,0.988564245365977
35,10,0.96923575435447
36,8,0.979254120932699
37,4,0.98802693012358
38,3,0.996615118496389
39,5,0.720243342152422
40,8,0.982159067811898
41,4,0.987436633411207
42,1,0.922383866775924
43,1,0.997689361163163
44,1,0.979254120932699
45,1,0.992976778906855
46,3,0.519634481485283
47,10,0.905561817039862
48,7,0.866153659351158
49,5,0.829559678774999
50,10,0.987436633411207
51,3,0.512275950627071
52,4,0.986062321588166
53,3,0.959443117617894
54,1,0.584417896311276
55,6,0.992976778906855
56,1,0.989506113297193
57,4,0.994372640416478
58,3,0.721123850912717
59,5,0.840415267120842
60,10,0.888528780629867
61,5,0.993165154172634
62,4,0.972549746296818
63,7,0.989055405727134
64,6,0.986785112565906
65,3,0.986062321588166
66,6,0.653292697351242
67,5,0.988564245365977
68,10,0.992567060226827
69,2,0.995031027531553
70,6,0.989506113297193
71,6,0.996268119645683
72,7,0.928333939671584
73,9,0.959443117617893
74,2,0.542801441882265
75,9,0.990304639452526
76,2,0.959443117617894
77,3,0.700429246035957
78,5,0.990660000350823
79,5,0.593075887163214
80,3,0.940505189771715
81,10,0.980815941531294
82,7,0.984350406093235
83,10,0.994932207675974
84,2,0.991585267693876
85,3,0.442053004241757
86,6,0.982159067811898
87,8,0.995472453917443
88,7,0.991854253887515
89,7,0.994722287919361
90,9,0.992343735740472
91,6,0.995390556503171
92,7,0.993827395087723
93,5,0.996659491100577
94,3,0.935643312434528
95,4,0.402563973803511
96,1,0.922383866775924
97,10,0.522807095764987
98,3,0.888388496457387
99,3,0.714929936339018
100,4,0.525985393907606
101,7,0.609912042449578
102,5,0.533379593290408
103,3,0.733211887660492
104,6,0.772904678404963
105,1,0.888388496457387
106,10,0.996940262968246
107,4,0.492172525401607
108,3,0.33237801772622
109,2,0.986785112565906
110,3,0.951766452764165
111,1,0.988564245365977
112,5,0.871177980090429
113,8,0.992777725720989
114,6,0.566031447088949
115,9,0.990990232432503
116,5,0.64997881098264
117,5,0.64997881098264
118,7,0.938503897292569
119,3,0.940505189771715
120,7,0.865059477916204
121,9,0.972549746296818
122,3,0.972549746296818
123,5,0.580769672405181
124,7,0.610519420318038
125,3,0.959443117617894
126,10,0.975219189496549
127,10,0.986062321588166
128,8,0.99753275794488
129,10,0.994610668592337
130,10,0.802793712686182
131,9,0.532629731819479
132,3,0.951766452764165
133,5,0.820308666713396
134,9,0.788098481598263
135,5,0.81303198253403
136,3,0.959443117617894
137,3,0.915787587181687
138,4,0.996522740315528
139,1,0.700053406352739
140,3,0.888388496457387
141,3,0.870665762102233
142,7,0.726505535860087
143,1,0.700053406352739
144,10,0.757884056205698
145,9,0.860376639822802
146,3,0.940505189771715
147,3,0.872915486069929
148,1,0.994372640416478
149,3,0.959443117617894
150,5,0.458877513154568
151,3,0.988564245365977
152,2,0.987436633411207
153,8,0.998130183193615
154,4,0.519264257659599
155,2,0.783995584659195
156,3,0.507385869908551
157,3,0.922383866775924
158,9,0.993343688277319
159,7,0.725805602580171
160,9,0.874949812317317
161,9,0.997080484188064
162,3,0.951766452764165
163,3,0.940505189771715
164,3,0.959443117617894
165,3,0.96923575435447
166,5,0.935092146959462
167,1,0.588955504009396
168,5,0.586048514889293
169,5,0.82425065221842
170,7,0.781276422526342
171,7,0.994494225939539
172,2,0.994372640416478
173,1,0.814751176737984
174,4,0.993674164600546
175,8,0.784383093505183
176,1,0.980815941531294
177,10,0.975219189496549
178,4,0.692833943240223
179,3,0.951766452764165
180,6,0.397346798140052
181,6,0.984350406093235
182,10,0.61376589936267
183,3,0.591227937459838
184,2,0.993674164600546
185,3,0.608499749340067
186,10,0.992976778906854
187,3,0.972549746296818
188,3,0.636866333668745
189,3,0.977415458811458
190,6,0.991585267693876
191,3,0.603767426126108
192,5,0.501565072544499
193,10,0.870573021149833
194,5,0.572056181079162
195,5,0.802798589046836
196,4,0.744578024805275
197,3,0.991297910095467
198,4,0.672582282637763
199,7,0.688009937954267
200,9,0.558138027181523
201,3,0.96501171737675
202,10,0.980815941531294
203,10,0.856522953963849
204,4,0.989921168048834
205,3,0.96923575435447
206,10,0.580015209996447
207,5,0.991297910095467
208,7,0.991854253887515
209,10,0.566098402648091
210,5,0.980815941531294
211,3,0.62494336162903
212,5,0.977415458811458
213,2,0.992777725720989
214,2,0.98802693012358
215,3,0.96923575435447
216,6,0.986062321588166
217,5,0.989506113297193
218,7,0.599057968619117
219,1,0.521748704065946
220,2,0.503742512914314
221,9,0.994494225939539
222,3,0.477648471958348
223,5,0.989055405727134
224,3,0.924202774914898
225,4,0.991854253887515
226,3,0.611548648657256
227,1,0.979254120932699
228,9,0.940505189771715
229,3,0.693758763970568
230,2,0.908022733283947
231,2,0.993827395087723
232,5,0.722973233181547
233,7,0.726705738115278
234,9,0.990660000350823
235,3,0.796657678030158
236,2,0.979254120932699
237,2,0.96501171737675
238,5,0.991585267693876
239,7,0.50151213441604
240,7,0.869957250935539
241,4,0.992777725720989
242,3,0.980815941531294
243,5,0.959443117617893
244,2,0.719888375837915
245,4,0.87817216801033
246,3,0.959443117617894
247,9,0.425166725358132
248,3,0.693091735624086
249,7,0.924078714944031
250,10,0.951766452764165
