"Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"지진","제품","여성","보험","교사","학생","처벌","수사","근무","동물"
"사업","장애","남성","치료","어린이집","학교","피해자","적폐","소득","아이"
"포항","검사","처벌","병원","아이","대학","사건","경찰","직원","병원"
"발전소","인증","무고죄","환자","평가인증","교육","아이","청산","근로자","생명"
"개발","사용","분양","저희","보육","시험","아동","나이","임금","교수"
"주민","판매","임대","소유자","교육","수능","청소년","언론","아이","특혜"
"작가","소비자","성범죄","주택","학교","전형","폭력","검찰","사용","이국종"
"회사","설치","생리","공동","원장","영어","경찰","문화","공무원","의료"
"시장","청소","공공","아들","아이들","정시","가해자","번호","부모","강아지"
"공사","설계","성매매","사망","학부모","고등","조두순","사건","부부","조사"
"지열","센터","산부인과","조합원","결혼","수시","사고","구속","수당","박수진"
"공매도","소상공인","서민","아파트","이사","학년","기술","정권","급여","연예인"
"시민","의료","무고","의료","유치원","특성","가정","청와대","혜택","의사"
"조사","장애인","사이트","의사","유아","공부","성범죄","후보","회사","학대"
"아파트","사고","피해자","조사","보육교사","현장","성희롱","판사","국회의원","아기"
"도시","마크","아파트","호텔","민간","수업","징역","승진","세금","반려"
"거래","장병","사용","시공사","교실","취업","저희","시민","가정","살리다"
"부지","동의","보도","조합","현장","교육부","학대","국방부","고용","환자"
"투자자","인건비","성폭행","경찰관","사립","평가","사기","계급","최저임금","실습"
"주식","조사","기자","입주","돌보다","학급","강화","사용","연차","치료"
"건설","보건소","국내","현장","가정","입시","조치","총장","소방","사건"
"기술","노동자","약국","순직","국공립","대입","협박","심사","근로","키우다"
"불법","활용","허위","입주민","종교","기회","소송","통신","육아","아프다"
"요청","공동","적용","불법","아동","특수","선고","인사","맞벌이","삼성병원"
"구역","kc인증","판매","세대","서남","졸업","은행","이동","휴가","북한"
"위험","전안법","일본","분양","행복","진학","이혼","박근혜","정규직","병사"
"에너지","유해","인권","재산","폐교","교사","사이버","투표","노동","아이들"
"부양","차량","폐지","구분","부모","공정","얼굴","이명박","비정규직","외상센터"
"인근","물질","혐오","위험","평가","학습","it","표창","월급","인간"
"주가","공장","주거","대출","반대","입학","강력하다","통합","계약","중증"
