"Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"병원","교사","처벌","학교","학생","아파트","동물","지진","사업","장애","여성","사망","근무","아이","설치"
"치료","어린이집","제품","학생","학교","분양","강아지","경찰","나이","의료","사용","사건","임금","부모","공동"
"환자","아이","피해자","교육","시험","저희","공매도","포항","적폐","활용","생리","아들","급여","결혼","청소"
"보험","평가인증","인증","영어","수능","공공","학대","성범죄","센터","장애인","남성","청소년","직원","소득","사용"
"의사","보육","검사","대학","대학","주택","반려","처벌","청산","동의","산부인과","경찰관","근로자","부부","시민"
"교수","교육","소비자","이사","교육","소유자","처벌","무고죄","번호","장병","제품","공무원","공무원","특혜","적폐"
"사고","학부모","판매","특성","전형","임대","주식","발전소","수사","사업","국내","순직","고용","가정","세대"
"이국종","원장","기자","학년","정시","조합원","불법","지열","직원","공동","성매매","경찰","연차","작가","역사"
"의료","아이들","사건","현장","수시","서민","투자자","조두순","검찰","사립","판매","현장","사용","혜택","구속"
"기술","유치원","소상공인","취업","공부","조합","거래","피해자","인건비","설치","킨텍스","생명","국회의원","출산","언론"
"수술","아동","언론","폐지","고등","호텔","회사","폭력","통신","중증","일본","심사","근로","낳다","판사"
"조사","학대","아동","학원","평가","주민","시장","여성","구역","치료","개발","교회","최저임금","조사","도로"
"사건","유아","종교","서남","입시","시공사","키우다","수사","이동","놀이","허가","처벌","노동","자녀","노동자"
"생명","보육교사","마크","교육부","대입","계약","가격","승진","변경","공공","점주","문화","회사","아기","일본"
"삼성","민간","보도","수업","성적","입주","주가","성폭행","보건소","차별","편의점","베트남","노동자","키우다","기각"
"살리다","현장","사기","폐교","공정","대출","죽이다","계급","불법","보육시설","성분","근무","비정규직","엄마","주택"
"북한","가정","과세","실습","특수","입주민","고양이","사건","사용","공원","조선","시민","정규직","육아","아파트"
"언론","교실","적용","졸업","교육부","마을","분양","무고","개발","장비","조사","투표","수당","맞벌이","청와대"
"설계","돌보다","성폭력","선임","비중","주거","방송","일어나다","자살","사용","밸리","표창","검사","박수진","정권"
"병사","학급","폐지","후보","내신","구분","생명","네이버","천안시","맡기다","수입","병원","소방","동성","공사"
"중증","국공립","kc인증","비리","저희","인원","도시","사이트","문화","군인","임상","위험","사장","연예인","쉼터"
"의원","평가","전안법","사고","수험","건설","게임","사이버","만나다","확충","카드","특혜","하청","사랑","주민"
"외상센터","행복","사용","학습","기회","공사","공매","출소","중국","면제","규제","조사","쉬다","돕다","블록"
"수사","어린이","가정","사립","진학","개발","보호법","유공자","공사","국방","명칭","저희","월급","폐지","청산"
"원전","부모","가해자","초등학교","인권","합격","강화","시민","총장","축소","처벌","문화재","설계","병원","국정"
"존엄","학교","물질","교육감","늘리다","사업","협박","전역","이용자","저희","용품","약국","야근","신혼","소음"
"간호사","근무","kc","추천","사격","토지","rotc","위험","인력","물리","여성가족부","사고","업종","삼성병원","단지"
"은폐","서류","성희롱","입학","과목","수익금","하락","남성","서비스","특수","일자리","부모","휴가","아이들","불편"
"외상","초등","징역","고등","학부모","광고","외국인","인재","통합","도시","방사능","담배","처우","수당","영장"
"소송","점수","부자재","채용","고교","총회","발전소","조사","예방","보건복지부","부지","훈련","시급","부양","원자력"
