"날짜","yearMonth","category1","category2","detail","현금","카드","카드분류","total","type","totalExpenditure","totalIncome","totalSave"
"2010-02-22","2010-02","용돈/기타","선물","어머니 선물",0,588000,"LIG 손해보험-현",588000,"expenditure",588000,0,0
"2010-02-25","2010-02","주거/통신","이동통신","핸드폰 요금",75400,0,NA,75400,"expenditure",75400,0,0
"2010-02-25","2010-02","의복/미용","의류비","와이셔츠",45000,0,NA,45000,"expenditure",45000,0,0
"2010-02-27","2010-02","식비","술/유흥","놀부보쌈",47000,0,NA,47000,"expenditure",47000,0,0
"2010-02-27","2010-02","식비","술/유흥","와라와라",39240,0,NA,39240,"expenditure",39240,0,0
"2010-02-28","2010-02","식비","외식","베니건스",61617,0,NA,61617,"expenditure",61617,0,0
"2010-03-01","2010-03","의복/미용","의류비","정장",260000,0,NA,260000,"expenditure",260000,0,0
"2010-03-02","2010-03","경조사/회비","기타","마라톤회비",20000,0,NA,20000,"expenditure",20000,0,0
"2010-03-05","2010-03","식비","술/유흥","피쉬앤그릴",22500,0,NA,22500,"expenditure",22500,0,0
"2010-03-05","2010-03","식비","술/유흥","술집",101300,0,NA,101300,"expenditure",101300,0,0
"2010-03-10","2010-03","교통/차량","택시비C","택시비 정산(2/17~3/10)",0,100500,"LIG 손해보험-현",100500,"expenditure",100500,0,0
"2010-03-10","2010-03","교통/차량","대중교통비","버스비 정산(2/17~3/10)",0,25200,"LIG 손해보험-현",25200,"expenditure",25200,0,0
"2010-03-11","2010-03","식비","외식","점심값",4000,0,NA,4000,"expenditure",4000,0,0
"2010-03-12","2010-03","식비","술/유흥","육회마을",21000,0,NA,21000,"expenditure",21000,0,0
"2010-03-12","2010-03","건강/문화","문화생활","게임방",4000,0,NA,4000,"expenditure",4000,0,0
"2010-03-13","2010-03","식비","외식","저녁값(칼국수,만두)",10500,0,NA,10500,"expenditure",10500,0,0
"2010-03-13","2010-03","식비","기타","담배값",2500,0,NA,2500,"expenditure",2500,0,0
"2010-03-13","2010-03","건강/문화","문화생활","게임방",5000,0,NA,5000,"expenditure",5000,0,0
"2010-03-13","2010-03","의복/미용","의류비","양말(H&M)",16000,0,NA,16000,"expenditure",16000,0,0
"2010-03-14","2010-03","의복/미용","패션잡화","명함지갑",38800,0,NA,38800,"expenditure",38800,0,0
"2010-03-19","2010-03","경조사/회비","모임회비","양평MT회비",35200,0,NA,35200,"expenditure",35200,0,0
"2010-03-19","2010-03","교통/차량","택시비C","택시비(MT)",13000,0,NA,13000,"expenditure",13000,0,0
"2010-03-20","2010-03","식비","외식","오리고기",0,46000,"LIG 손해보험-현",46000,"expenditure",46000,0,0
"2010-03-20","2010-03","교통/차량","대중교통비","고속버스비(양평->인천)",7100,0,NA,7100,"expenditure",7100,0,0
"2010-03-20","2010-03","식비","커피/음료","음료수쏨",6500,0,NA,6500,"expenditure",6500,0,0
"2010-03-20","2010-03","식비","기타","담배값",2500,0,NA,2500,"expenditure",2500,0,0
"2010-03-21","2010-03","의복/미용","헤어/뷰티","미용실",10000,0,NA,10000,"expenditure",10000,0,0
"2010-03-21","2010-03","식비","간식","던킨도너츠",7400,0,NA,7400,"expenditure",14800,0,0
"2010-03-21","2010-03","건강/문화","문화생활","게임방",2000,0,NA,2000,"expenditure",2000,0,0
