date,detail,cash,credit,creditType,category,tag,waste
2010년02월22일,어머니 선물,0,588000,LIG 손해보험-현,용돈/기타>선물,,
2010년02월25일,핸드폰 요금,75400,0,,주거/통신>이동통신,,
2010년02월25일,와이셔츠,45000,0,,의복/미용>의류비,,
2010년02월25일,보험비,40000,0,,저축/보험>보험,,
2010년02월27일,놀부보쌈,47000,0,,식비>술/유흥,,
2010년02월27일,와라와라,39240,0,,식비>술/유흥,,
2010년02월28일,베니건스,61617,0,,식비>외식,,
2010년03월01일,정장,260000,0,,의복/미용>의류비,,
2010년03월02일,마라톤회비,20000,0,,경조사/회비>기타,,
2010년03월05일,피쉬앤그릴,22500,0,,식비>술/유흥,,
2010년03월05일,술집,101300,0,,식비>술/유흥,,
2010년03월10일,택시비 정산(2/17~3/10),0,100500,LIG 손해보험-현,교통/차량>택시비C,,
2010년03월10일,버스비 정산(2/17~3/10),0,25200,LIG 손해보험-현,교통/차량>대중교통비,,
2010년03월11일,점심값,4000,0,,식비>외식,,
2010년03월12일,육회마을,21000,0,,식비>술/유흥,,
2010년03월12일,게임방,4000,0,,건강/문화>문화생활,,
2010년03월13일,"저녁값(칼국수,만두)",10500,0,,식비>외식,,
2010년03월13일,담배값,2500,0,,식비>기타,,
2010년03월13일,게임방,5000,0,,건강/문화>문화생활,,
2010년03월13일,양말(H&M),16000,0,,의복/미용>의류비,,
2010년03월14일,명함지갑,38800,0,,의복/미용>패션잡화,,
2010년03월19일,양평MT회비,35200,0,,경조사/회비>모임회비,,
2010년03월19일,택시비(MT),13000,0,,교통/차량>택시비C,,
2010년03월20일,오리고기,0,46000,LIG 손해보험-현,식비>외식,,
2010년03월20일,고속버스비(양평->인천),7100,0,,교통/차량>대중교통비,,
2010년03월20일,음료수쏨,6500,0,,식비>커피/음료,,
2010년03월20일,담배값,2500,0,,식비>기타,,
2010년03월21일,미용실,10000,0,,의복/미용>헤어/뷰티,,
2010년03월21일,던킨도너츠,7400,0,,식비>간식,,
2010년03월21일,게임방,2000,0,,건강/문화>문화생활,,
2010년03월21일,초크다마,2800,0,,생활용품>잡화소모,,
2010년03월21일,던킨도너츠,7400,0,,식비>간식,,
2010년03월22일,카드연회비,0,15000,LIG 손해보험-현,경조사/회비>기타,카드연회비,
2010년03월22일,연금(LIG),148500,0,,저축/보험>연금,고정비용,
2010년03월23일,LIG 손해보험-현... 사용대금 (2010.02.12 ~ 2010.03.11),728700,0,,카드대금>LIG 손해보험-현,,
2010년03월23일,점심값,12000,0,,식비>평일점심,점심,
2010년03월24일,카페베네,9800,0,,식비>커피/음료,,
2010년03월24일,점심값,5000,0,,식비>평일점심,점심,
2010년03월25일,보험비,40000,0,,저축/보험>보험,"고정비용,",
2010년03월25일,핸드폰 요금,79900,0,,주거/통신>이동통신,,
2010년03월25일,파리바게트,9100,0,,식비>간식,,
2010년03월25일,헤어왁스,9000,0,,의복/미용>헤어/뷰티,,
2010년03월25일,콩나물국밥,6000,0,,식비>평일점심,점심,
2010년03월26일,버거킹,8000,0,,식비>평일점심,점심,
2010년03월26일,담배값,7500,0,,식비>기타,,
2010년03월26일,핫바,1500,0,,식비>간식,,
2010년04월01일,피자이야기,47000,0,,식비>외식,,
2010년04월01일,유흥비,200000,0,,식비>술/유흥,,
2010년04월02일,보험비(종신),270000,0,,저축/보험>보험,제일종신보험,
2010년04월03일,도서구입,0,19800,LIG 손해보험-현,건강/문화>도서구입,,
2010년04월03일,멀티스탠드,18000,18000,LIG 손해보험-현,생활용품>가구/가전,,
2010년04월03일,아웃백,20000,0,,식비>외식,,
2010년04월03일,로또구입,5000,0,,용돈/기타>기타,,
2010년04월04일,찜질방,10000,0,,건강/문화>문화생활,,
2010년04월04일,음료수쏨,10000,0,,식비>커피/음료,,
2010년04월05일,축의금(박대리님),50000,0,,경조사/회비>경조사비,,
2010년04월05일,담배값,7500,0,,용돈/기타>담배,,
2010년04월08일,등기,2000,0,,용돈/기타>기타,등기,
2010년04월08일,시계약,5000,0,,생활용품>잡화소모,,
2010년04월08일,점심값,6000,0,,식비>평일점심,점심,
2010년04월08일,점심값정산,35000,0,,식비>평일점심,점심,
2010년04월08일,기타잡비,5000,0,,용돈/기타>기타,,
2010년04월09일,폴로티,0,103600,LIG 손해보험-현,의복/미용>의류비,,
2010년04월09일,택시비 정산(3/11~4/10),0,39300,LIG 손해보험-현,교통/차량>택시비C,,
2010년04월09일,택시비(야간),0,177720,LIG 손해보험-현,교통/차량>택시비C,,
2010년04월09일,대중교통비정산,0,84700,LIG 손해보험-현,교통/차량>대중교통비,,
2010년04월10일,저녁식사(소개팅),0,53460,LIG 손해보험-현,식비>외식,,
2010년04월10일,커피숍(소개팅),0,16500,LIG 손해보험-현,식비>커피/음료,,
2010년04월10일,Pup(소개팅),0,55000,LIG 손해보험-현,식비>술/유흥,,
2010년04월11일,청바지(GAP),0,115000,LIG 손해보험-현,의복/미용>의류비,,
2010년04월11일,닭도리탕,0,33000,LIG 손해보험-현,식비>외식,,
2010년04월12일,점심값,6000,0,,식비>평일점심,,
2010년04월14일,고기집,59000,0,,식비>술/유흥,,
