date,detail,income,category,tag
2010년02월01일,전월이월,293834,전월이월>전월이월,
2010년02월19일,월급,1945664,주수입>급여,
2010년02월21일,인턴,1051874,부수입>기타,
2010년02월24일,졸업용돈,200000,부수입>기타,
2010년03월01일,전월이월,3183115,전월이월>전월이월,
2010년03월05일,이자,1040,부수입>이자/배당금,
2010년03월07일,이자,64,부수입>이자/배당금,
2010년03월19일,월급,1945664,주수입>급여,
2010년03월20일,이자,1874,부수입>이자/배당금,
2010년03월20일,카드깡,36000,부수입>카드깡,
2010년04월01일,03월 전월이월 잔액,3503257,전월이월>전월이월,
2010년04월21일,월급,2442110,주수입>급여,
2010년04월21일,경비,133720,부수입>기타,
2010년05월01일,04월 전월이월 잔액,3926327,전월이월>전월이월,
2010년05월20일,월급,2384730,주수입>급여,
2010년05월20일,경비,144200,부수입>기타,
2010년06월01일,05월 전월이월 잔액,4935767,전월이월>전월이월,
2010년06월12일,카드깡,35000,부수입>카드깡,
2010년06월21일,월급,2384730,주수입>급여,
2010년06월21일,자기계발비,356660,부수입>기타,
2010년06월21일,경비,40040,부수입>기타,
2010년07월01일,06월 전월이월 잔액,5749447,전월이월>전월이월,
2010년07월21일,월급,2446610,주수입>급여,
2010년07월21일,자기계발비,100000,부수입>기타,
2010년07월21일,경비,170460,부수입>기타,회사경비
2010년08월01일,07월 전월이월 잔액,6769817,전월이월>전월이월,
2010년08월06일,캐나다 세금환급,695756,부수입>기타,
2010년08월06일,캐나다 세금환급2,681679,부수입>기타,
2010년08월10일,카드깡(경희),35000,부수입>카드깡,
2010년08월19일,빱쑝에게 홍콩경비받음,90000,부수입>카드깡,홍콩
2010년08월20일,월급,2414110,주수입>급여,
2010년08월20일,경비,202200,부수입>기타,회사경비
2010년08월20일,적금해약,13684493,부수입>기타,
2010년09월01일,08월 전월이월 잔액,18348325,전월이월>전월이월,
2010년09월01일,화장품값(경희),60000,부수입>기타,홍콩
2010년09월14일,팀장님부탁,21000,부수입>기타,
2010년09월17일,월급,2414110,주수입>급여,
2010년09월17일,경비,254960,부수입>기타,회사경비
2010년09월30일,신한카드 이벤트,41731,부수입>이자/배당금,
2010년10월01일,09월 전월이월 잔액,12884858,전월이월>전월이월,
2010년10월17일,카드깡,15000,부수입>카드깡,
2010년10월21일,월급,2415560,주수입>급여,
2010년10월21일,초과근무수당,260000,주수입>기타,
2010년10월21일,경비,145080,부수입>기타,회사경비
2010년11월01일,10월 전월이월 잔액,12884536,전월이월>전월이월,
2010년11월12일,카드깡,6000,부수입>카드깡,
