week_num,rank_q,c_name_eng,online_quantity,online_ratio,single,dual,cylinder,drum,energy_grade_1,energy_grade_2,energy_grade_3,energy_grade_4,energy_grade_5,energy_grade_x,vol_under_4.4,vol_under_4.9,vol_under_5.4,vol_under_5.9,vol_under_6.4,vol_under_6.9,vol_under_7.4,vol_under_7.9,vol_over_8.0,price_under_200,price_under_400,price_under_600,price_under_800,price_under_1000,price_under_1200,price_under_1400,price_under_1900,price_under_2400,price_under_2900,price_under_3400,price_under_4400,price_over_4401,offline_quantity,offline_ratio,online_amount,online_amount_ratio,offline_amount,offline_amount_ratio,date
31,1,haier,18399,0.168401109,0.006718105,0.009198495,0.11935162,0.033132889,0.035475988,0.005143835,0.097943381,0.000320346,7.32E-05,0.029444338,0.01246602,NA,0.005409264,0.024227281,0.032867459,0.010113768,0.066622734,0.010406656,0.006287927,6.41E-05,0.007935418,0.004265173,0.003679398,0.057341864,0.034460035,0.014552843,0.010864292,0.024520168,0.004796031,0.002517001,0.002269877,0.001134939,28851,0.255359261,24489.53,0.186901294,66424.025,0.252370549,2015-07-27
31,4,galanz,6096,0.055795052,NA,NA,0.00593097,0.049864082,0.005070613,0.044784316,0.00593097,NA,NA,9.15E-06,NA,NA,NA,NA,0.04684368,0.004393311,0.00455806,NA,NA,NA,NA,NA,0.004027202,0.013701639,0.027604639,0.00324922,0.007184894,2.75E-05,NA,NA,NA,NA,310,0.0027438,6784.324,0.051777185,338.679,0.001286772,2015-07-27
31,5,sanyo,5620,0.051438352,NA,NA,0.032638641,0.018799711,0.005903512,0.007496087,0.036290581,0.001436979,NA,0.000311193,0.001418673,NA,0.002535307,0.00851204,0.008383902,0.005070613,0.01819563,0.002352252,0.004969933,NA,NA,NA,0.008713401,0.016648819,0.004695351,0.00345058,0.006562509,0.006763869,0.001601728,0.002398016,0.000521706,8.24E-05,7629,0.06752403,7797.199,0.059507332,16526.591,0.062790908,2015-07-27
31,9,siemens,4467,0.040885252,NA,NA,NA,0.040885252,0.031640993,0.009125273,NA,NA,NA,0.000118986,NA,NA,9.15E-05,9.15E-06,0.014397247,NA,0.015257604,0.001858005,0.009271717,NA,NA,NA,NA,NA,NA,NA,1.83E-05,0.005958428,0.003688551,0.0072032,0.016767804,0.007248963,8401,0.074356977,16402.324,0.125180662,35395.015,0.134479345,2015-07-27
31,10,lg,4012,0.036720759,NA,NA,0.002663445,0.034057314,0.021582141,0.01501048,9.15E-06,NA,NA,0.000118986,9.15E-06,NA,NA,NA,0.012923657,0.000631538,0.001153244,0.000137291,0.021865876,NA,NA,NA,NA,NA,9.15E-06,9.15E-06,0.000777982,0.013793167,0.013701639,0.004191951,0.00365194,0.000585775,3259,0.028845303,10928.66,0.083406284,11140.192,0.042325896,2015-07-27
31,19,hisense,1210,0.011074805,NA,NA,0.010370045,0.00070476,0.000146444,0.000686455,0.010241907,NA,NA,NA,NA,NA,0.00492417,3.66E-05,0.003770925,NA,0.002306488,NA,3.66E-05,NA,NA,NA,0.00613233,0.003963133,0.000146444,0.000137291,0.000649844,1.83E-05,NA,NA,2.75E-05,NA,2730,0.024163141,1062.927,0.008112137,4439.152,0.016866055,2015-07-27
32,1,haier,17180,0.160590765,0.006010469,0.006468499,0.123275379,0.024836418,0.028201533,0.003785754,0.100401944,0.000168256,0.00011217,0.027921107,0.011581604,NA,0.006375023,0.020695457,0.031230136,0.008814732,0.056954571,0.019274631,0.00566461,1.87E-05,0.006711535,0.00270144,0.003047299,0.052383623,0.049943915,0.010562722,0.009207328,0.014965414,0.005636568,0.002682744,0.001916246,0.000813236,24491,0.237841355,22070.564,0.169852603,54508.647,0.243094046,2015-08-03
32,4,sanyo,6228,0.058216489,NA,NA,0.036259114,0.021957375,0.005636568,0.011114227,0.040325294,0.000944102,NA,0.000196298,0.000944102,NA,0.005281361,0.007627594,0.007814545,0.005402879,0.024088615,0.003187512,0.003869882,NA,NA,NA,0.009029725,0.021733034,0.003767059,0.002963171,0.005683305,0.009945784,0.001981679,0.002626659,0.000364554,0.000121518,7265,0.07055316,8602.334,0.066202605,14755.127,0.065803936,2015-08-03
32,5,siemens,5874,0.054907459,NA,NA,NA,0.054907459,0.041372219,0.01342307,NA,NA,NA,0.00011217,NA,NA,7.48E-05,3.74E-05,0.018199663,NA,0.022630398,0.002224715,0.011740512,NA,NA,NA,NA,NA,NA,NA,1.87E-05,0.009889699,0.00608525,0.012628529,0.017722939,0.008562348,6273,0.060919473,20590.462,0.158461903,26519.936,0.11827185,2015-08-03
32,6,galanz,5707,0.05334642,NA,NA,0.007805197,0.045541223,0.004075528,0.041465695,0.007805197,NA,NA,NA,NA,NA,NA,NA,0.046279678,0.003280987,0.003785754,NA,NA,NA,NA,NA,0.004627033,0.015395401,0.023331464,0.004000748,0.005954384,3.74E-05,NA,NA,NA,NA,397,0.003855417,6229.083,0.047938329,407.581,0.001817703,2015-08-03
