"pos_count","neg_count","total_count","p_DRUM_count","n_DRUM_count","t_DRUM_count","p_BOLUN_count","n_BOLUN_count","t_BOLUN_count","p_SINGLE_count","n_SINGLE_count","t_SINGLE_count","p_DUAL_count","n_DUAL_count","t_DUAL_count","BOLUN_Q","DRUM_Q","SINGLE_Q","DUAL_Q","quantity","c_name_eng","week_num"
-1.2,-7.2,-8.4,-1.2,-6.5,-7.7,0,-0.7,-0.7,0,0,0,0,0,0,-1219.8,3509.3,-73.4,-100.5,2115.6,"GALANZ","2015/31"
5.8,9.8,15.6,5.8,3.5,9.3,0,6.3,6.3,0,0,0,0,0,0,11172.2,1681.3,660.6,904.5,14418.6,"HAIER","2015/31"
-1.2,-3.2,-4.4,-1.2,-2.5,-3.7,0,-0.7,-0.7,0,0,0,0,0,0,-734.8,-1861.7,-73.4,-100.5,-2770.4,"HISENSE","2015/31"
-0.2,-0.2,-0.4,-0.2,0.5,0.3,0,-0.7,-0.7,0,0,0,0,0,0,-1576.8,1782.3,-73.4,-100.5,31.5999999999999,"LG","2015/31"
-0.2,6.8,6.6,-0.2,7.5,7.3,0,-0.7,-0.7,0,0,0,0,0,0,1698.2,115.3,-73.4,-100.5,1639.6,"SANYO","2015/31"
1.8,22.8,24.6,1.8,23.5,25.3,0,-0.7,-0.7,0,0,0,0,0,0,-1867.8,2528.3,-73.4,-100.5,486.6,"SIEMENS","2015/31"
-6.9,-18.2,-25.1,-5.5,-16.6,-22.1,-1.4,-1.6,-3,0,0,0,0,0,0,-1065.4,2967.5,-64.3,-69.2,1768.6,"GALANZ","2015/32"
27.1,30.8,57.9,16.5,21.4,37.9,10.6,9.4,20,0,0,0,0,0,0,11287.6,752.5,578.7,622.8,13241.6,"HAIER","2015/32"
-4.9,-12.2,-17.1,-4.5,-12.6,-17.1,-0.4,0.4,0,0,0,0,0,0,0,-1083.4,-1798.5,-64.3,-69.2,-3015.4,"HISENSE","2015/32"
1.1,14.8,15.9,1.5,15.4,16.9,-0.4,-0.6,-1,0,0,0,0,0,0,-1615.4,1282.5,-64.3,-69.2,-466.4,"LG","2015/32"
15.1,18.8,33.9,16.5,19.4,35.9,-1.4,-0.6,-2,0,0,0,0,0,0,1978.6,444.5,-64.3,-69.2,2289.6,"SANYO","2015/32"
0.0999999999999996,38.8,38.9,1.5,39.4,40.9,-1.4,-0.6,-2,0,0,0,0,0,0,-1900.4,3969.5,-64.3,-69.2,1935.6,"SIEMENS","2015/32"
-6,-8.7,-14.7,-4.1,-7.8,-11.9,-1.9,-0.9,-2.8,0,0,0,0,0,0,-969.7,3290.3,-44.7,-72.2,2203.7,"GALANZ","2015/33"
53,30.3,83.3,29.9,25.2,55.1,23.1,5.1,28.2,0,0,0,0,0,0,14914.3,2004.3,402.3,649.8,17970.7,"HAIER","2015/33"
-7,-7.7,-14.7,-4.1,-6.8,-10.9,-2.9,-0.9,-3.8,0,0,0,0,0,0,-1224.7,-2978.7,-44.7,-72.2,-4320.3,"HISENSE","2015/33"
2,2.3,4.3,4.9,2.2,7.1,-2.9,0.1,-2.8,0,0,0,0,0,0,-2120.7,4274.3,-44.7,-72.2,2036.7,"LG","2015/33"
-2,-0.699999999999999,-2.7,-1.1,-0.8,-1.9,-0.9,0.1,-0.8,0,0,0,0,0,0,1649.3,128.3,-44.7,-72.2,1660.7,"SANYO","2015/33"
0,19.3,19.3,2.9,19.2,22.1,-2.9,0.1,-2.8,0,0,0,0,0,0,-2449.7,5588.3,-44.7,-72.2,3021.7,"SIEMENS","2015/33"
12.1,-10,2.1,15.5,-9,6.5,-3.4,-1,-4.4,0,0,0,0,0,0,-2235.9,2492.7,-48.4,-75.6,132.8,"GALANZ","2015/34"
50.1,26,76.1,20.5,19,39.5,29.6,7,36.6,0,0,0,0,0,0,21415.1,4100.7,435.6,680.4,26631.8,"HAIER","2015/34"
