c_name_eng,sales_type,social_type,social,sales
GALANZ,bolun,positive,-0.4427541,-0.3990027
HAIER,bolun,positive,2.0354801,1.982808
LG,bolun,positive,-0.2585208,-0.48493308
SIEMENS,bolun,positive,-0.4546401,-0.56223216
SANYO,bolun,positive,-0.424925,0.05879837
HISENSE,bolun,positive,-0.4546401,-0.59543844
GALANZ,drum,positive,-0.4838443,1.0584678
HAIER,drum,positive,1.9755636,0.4018496
LG,drum,positive,-0.4886667,-1.5821324
SIEMENS,drum,positive,-0.1173443,-0.1396405
SANYO,drum,positive,-0.7731864,-0.6312895
HISENSE,drum,positive,-0.1125219,0.8927451
GALANZ,all,positive,-0.470234,-0.05633365
HAIER,all,positive,2.0230372,1.94601302
LG,all,positive,-0.3895456,-0.90237691
SIEMENS,all,positive,-0.2712026,-0.54089225
SANYO,all,positive,-0.6235419,-0.18215462
HISENSE,all,positive,-0.268513,-0.2642556
GALANZ,bolun,negative,-0.5945105,-0.3990027
HAIER,bolun,negative,2.0160217,1.982808
LG,bolun,negative,-0.4749442,-0.48493308
SIEMENS,bolun,negative,-0.2955946,-0.56223216
SANYO,bolun,negative,-0.1561005,0.05879837
HISENSE,bolun,negative,-0.4948719,-0.59543844
GALANZ,drum,negative,-1.11612923,1.0584678
HAIER,drum,negative,1.5816034,0.4018496
LG,drum,negative,-0.89564147,-1.5821324
SIEMENS,drum,negative,-0.09150963,-0.1396405
SANYO,drum,negative,-0.13041923,-0.6312895
HISENSE,drum,negative,0.65209616,0.8927451
GALANZ,all,negative,-1.0544288,-0.05633365
HAIER,all,negative,1.7097856,1.94601302
LG,all,negative,-0.8457398,-0.90237691
SIEMENS,all,negative,-0.1318036,-0.54089225
SANYO,all,negative,-0.139126,-0.18215462
HISENSE,all,negative,0.4613126,-0.2642556
GALANZ,bolun,all,-0.4790538,-0.3990027
HAIER,bolun,all,2.0371266,1.982808
LG,bolun,all,-0.3091657,-0.48493308
SIEMENS,bolun,all,-0.4193634,-0.56223216
SANYO,bolun,all,-0.3642646,0.05879837
HISENSE,bolun,all,-0.4652791,-0.59543844
GALANZ,drum,all,-0.854681,1.0584678
HAIER,drum,all,1.8488287,0.4018496
LG,drum,all,-0.7354786,-1.5821324
SIEMENS,drum,all,-0.1084742,-0.1396405
SANYO,drum,all,-0.454161,-0.6312895
HISENSE,drum,all,0.303966,0.8927451
GALANZ,all,all,-0.74417605,-0.05633365
HAIER,all,all,1.96026208,1.94601302
LG,all,all,-0.60429132,-0.90237691
SIEMENS,all,all,-0.22001028,-0.54089225
SANYO,all,all,-0.43385705,-0.18215462
HISENSE,all,all,0.04207261,-0.2642556
