week_num,product_type,sentiment,keyword,role,numKeyword,numDocs,competitor
2015/38,bolun,pos,洗衣机,N,52,1,galanz
2015/33,bolun,pos,洗衣机,N,28,1,galanz
2015/33,bolun,pos,品牌,NZ,20,1,galanz
2015/38,bolun,pos,洗衣,V,16,1,galanz
2015/38,bolun,pos,京东,NB,15,1,galanz
2015/38,bolun,pos,自动,A,13,1,galanz
2015/38,bolun,pos,功能,N,13,1,galanz
2015/38,bolun,pos,洗涤,V,13,1,galanz
2015/38,bolun,pos,衣物,NZ,12,1,galanz
2015/38,bolun,pos,智能,N,11,1,galanz
2015/38,bolun,pos,价格,NZ,10,1,galanz
2015/38,bolun,pos,内筒,NZ,10,1,galanz
2015/38,bolun,pos,海尔,NB,9,1,galanz
2015/38,bolun,pos,海信,NT,9,1,galanz
2015/38,bolun,pos,控制,V,9,1,galanz
2015/33,bolun,pos,家电,N,8,1,galanz
2015/38,bolun,pos,参考,N,8,1,galanz
2015/38,bolun,pos,编辑,N,8,1,galanz
2015/38,bolun,pos,松下,NT,8,1,galanz
2015/33,bolun,pos,线上,NZ,8,1,galanz
2015/38,bolun,pos,格兰仕,NZ,8,1,galanz
2015/38,bolun,pos,荣事达,NZ,8,1,galanz
2015/38,bolun,pos,售价,NZ,8,1,galanz
2015/38,bolun,pos,参考价,NZ,8,1,galanz
2015/38,bolun,pos,点评,V,8,1,galanz
2015/38,bolun,pos,经销商,N,7,1,galanz
2015/38,bolun,pos,商城,N,7,1,galanz
2015/38,bolun,pos,lg,NB,7,1,galanz
2015/38,bolun,pos,动力,NZ,7,1,galanz
2015/38,bolun,pos,采用,V,7,1,galanz
2015/33,bolun,pos,份额,N,6,1,galanz
2015/33,bolun,pos,消费者,N,6,1,galanz
2015/38,bolun,pos,程序,N,6,1,galanz
2015/38,bolun,pos,三洋,NT,6,1,galanz
2015/38,bolun,pos,检测,NZ,6,1,galanz
2015/38,bolun,pos,外观,NZ,6,1,galanz
2015/33,bolun,pos,增长,V,6,1,galanz
2015/38,bolun,pos,拥有,V,6,1,galanz
2015/38,bolun,pos,模糊,AZ,5,1,galanz
2015/38,bolun,pos,家庭,N,5,1,galanz
2015/38,bolun,pos,参数,N,5,1,galanz
2015/38,bolun,pos,支持,V,5,1,galanz
2015/38,bolun,pos,相关,A,4,1,galanz
2015/38,bolun,pos,减少,AZ,4,1,galanz
2015/38,bolun,pos,全自动,AZ,4,1,galanz
2015/33,bolun,pos,领域,N,4,1,galanz
2015/33,bolun,pos,线下,NZ,4,1,galanz
2015/33,bolun,pos,质量,NZ,4,1,galanz
2015/33,bolun,pos,差评,NZ,4,1,galanz
2015/38,bolun,pos,水位,NZ,4,1,galanz
2015/38,bolun,pos,双动力,NZ,4,1,galanz
2015/38,bolun,pos,操作,NZ,4,1,galanz
2015/38,bolun,pos,智能控制,NZ,4,1,galanz
2015/38,bolun,pos,浸泡,NZ,4,1,galanz
2015/38,bolun,pos,平衡,NZ,4,1,galanz
2015/33,bolun,pos,进入,V,4,1,galanz
2015/38,bolun,pos,预约,V,4,1,galanz
2015/38,bolun,pos,进行,V,4,1,galanz
2015/38,bolun,pos,充分,A,3,1,galanz
2015/38,bolun,pos,平稳,A,3,1,galanz
2015/38,bolun,pos,干净,AZ,3,1,galanz
2015/38,bolun,pos,便宜,AZ,3,1,galanz
2015/33,bolun,pos,年报,N,3,1,galanz
2015/33,bolun,pos,问题,N,3,1,galanz
2015/33,bolun,pos,数据,N,3,1,galanz
2015/33,bolun,pos,集中度,N,3,1,galanz
2015/38,bolun,pos,过程,N,3,1,galanz
2015/38,bolun,pos,小时,N,3,1,galanz
2015/38,bolun,pos,时间,N,3,1,galanz
2015/33,bolun,pos,消协,NT,3,1,galanz
2015/33,bolun,pos,空间,NZ,3,1,galanz
2015/33,bolun,pos,优势,NZ,3,1,galanz
2015/38,bolun,pos,健康,NZ,3,1,galanz
2015/38,bolun,pos,高效,NZ,3,1,galanz
2015/38,bolun,pos,童锁,NZ,3,1,galanz
2015/38,bolun,pos,面板,NZ,3,1,galanz
2015/38,bolun,pos,污渍,NZ,3,1,galanz
2015/38,bolun,pos,自检,NZ,3,1,galanz
2015/38,bolun,pos,缠绕,NZ,3,1,galanz
2015/38,bolun,pos,全自动洗衣机,NZ,3,1,galanz
2015/38,bolun,pos,泡沫,NZ,3,1,galanz
2015/33,bolun,pos,购买,V,3,1,galanz
2015/33,bolun,pos,未能,V,3,1,galanz
2015/33,bolun,pos,生存,V,3,1,galanz
2015/33,bolun,pos,统计,V,3,1,galanz
2015/38,bolun,pos,购买,V,3,1,galanz
2015/38,bolun,pos,节水,V,3,1,galanz
2015/38,bolun,pos,左右,V,3,1,galanz
2015/33,bolun,pos,同比,VZ,3,1,galanz
2015/33,bolun,pos,变频,VZ,3,1,galanz
2015/33,bolun,pos,获得,VZ,3,1,galanz
2015/38,bolun,pos,防止,VZ,3,1,galanz
2015/33,bolun,pos,在线,A,2,1,galanz
2015/33,bolun,pos,显然,A,2,1,galanz
2015/38,bolun,pos,适合,A,2,1,galanz
2015/38,bolun,pos,普通,A,2,1,galanz
2015/38,bolun,pos,不同,A,2,1,galanz
2015/38,bolun,pos,详细,A,2,1,galanz
2015/38,bolun,pos,彻底,A,2,1,galanz
2015/38,bolun,pos,很多,A,2,1,galanz
2015/38,bolun,pos,洁净,AZ,2,1,galanz
2015/38,bolun,pos,时尚,AZ,2,1,galanz
2015/38,bolun,pos,实惠,AZ,2,1,galanz
2015/38,bolun,pos,安心,AZ,2,1,galanz
2015/38,bolun,pos,安全,AZ,2,1,galanz
2015/38,bolun,pos,有效,AZ,2,1,galanz
2015/33,bolun,pos,同期,N,2,1,galanz
2015/33,bolun,pos,零售,N,2,1,galanz
2015/33,bolun,pos,成长性,N,2,1,galanz
2015/33,bolun,pos,时候,N,2,1,galanz
2015/33,bolun,pos,业务,N,2,1,galanz
2015/33,bolun,pos,维修,N,2,1,galanz
2015/33,bolun,pos,一部,N,2,1,galanz
2015/33,bolun,pos,智能,N,2,1,galanz
2015/33,bolun,pos,振动,N,2,1,galanz
2015/33,bolun,pos,集团,N,2,1,galanz
2015/38,bolun,pos,强力,N,2,1,galanz
2015/38,bolun,pos,高温,N,2,1,galanz
2015/38,bolun,pos,方式,N,2,1,galanz
2015/38,bolun,pos,蜂巢,N,2,1,galanz
2015/38,bolun,pos,不锈钢,N,2,1,galanz
2015/38,bolun,pos,箱体,N,2,1,galanz
2015/38,bolun,pos,洗衣粉,N,2,1,galanz
2015/38,bolun,pos,细节,N,2,1,galanz
2015/38,bolun,pos,手工,N,2,1,galanz
2015/38,bolun,pos,水温,N,2,1,galanz
2015/38,bolun,pos,信息,N,2,1,galanz
2015/38,bolun,pos,温度,N,2,1,galanz
2015/38,bolun,pos,用户,N,2,1,galanz
2015/38,bolun,pos,脱水,N,2,1,galanz
2015/38,bolun,pos,孩子,N,2,1,galanz
2015/33,bolun,pos,价格,NZ,2,1,galanz
2015/33,bolun,pos,三线,NZ,2,1,galanz
2015/33,bolun,pos,声音,NZ,2,1,galanz
2015/33,bolun,pos,市场份额,NZ,2,1,galanz
2015/33,bolun,pos,黑榜,NZ,2,1,galanz
2015/38,bolun,pos,机身,NZ,2,1,galanz
2015/38,bolun,pos,能效,NZ,2,1,galanz
2015/38,bolun,pos,分钟,NZ,2,1,galanz
2015/38,bolun,pos,洗涤剂,NZ,2,1,galanz
2015/38,bolun,pos,溶解,NZ,2,1,galanz
2015/38,bolun,pos,运行,NZ,2,1,galanz
2015/38,bolun,pos,残留,NZ,2,1,galanz
2015/38,bolun,pos,电机,NZ,2,1,galanz
2015/38,bolun,pos,噪音,NZ,2,1,galanz
2015/38,bolun,pos,调整,NZ,2,1,galanz
2015/38,bolun,pos,超薄,NZ,2,1,galanz
2015/38,bolun,pos,效果,NZ,2,1,galanz
2015/33,bolun,pos,起跑,V,2,1,galanz
2015/33,bolun,pos,来看,V,2,1,galanz
2015/33,bolun,pos,实现,V,2,1,galanz
2015/33,bolun,pos,挤压,V,2,1,galanz
2015/33,bolun,pos,持平,V,2,1,galanz
2015/33,bolun,pos,震动,V,2,1,galanz
2015/33,bolun,pos,进行,V,2,1,galanz
2015/33,bolun,pos,评为,V,2,1,galanz
2015/38,bolun,pos,感知,V,2,1,galanz
2015/38,bolun,pos,降低,V,2,1,galanz
2015/38,bolun,pos,纠偏,V,2,1,galanz
2015/38,bolun,pos,内置,V,2,1,galanz
2015/38,bolun,pos,不用,V,2,1,galanz
2015/38,bolun,pos,产生,V,2,1,galanz
2015/38,bolun,pos,旋转,V,2,1,galanz
2015/38,bolun,pos,摔打,V,2,1,galanz
2015/38,bolun,pos,掌握,V,2,1,galanz
2015/38,bolun,pos,点击,V,2,1,galanz
2015/38,bolun,pos,清洗,V,2,1,galanz
2015/33,bolun,pos,坏了,VZ,2,1,galanz
2015/38,bolun,pos,变频,VZ,2,1,galanz
2015/38,bolun,pos,节能,VZ,2,1,galanz
2015/38,bolun,pos,漂洗,VZ,2,1,galanz
2015/33,bolun,pos,激烈,A,1,1,galanz
2015/33,bolun,pos,气愤,A,1,1,galanz
2015/33,bolun,pos,大型,A,1,1,galanz
2015/33,bolun,pos,同样,A,1,1,galanz
2015/33,bolun,pos,厉害,A,1,1,galanz
2015/33,bolun,pos,不利,A,1,1,galanz
2015/33,bolun,pos,上述,A,1,1,galanz
2015/33,bolun,pos,雄厚,A,1,1,galanz
