week_num	product_type	sentiment	keyword	role	numKeyword	numDocs	competitor
2015/38	Bolun	pos	洗衣机	N	52	1	galanz
2015/33	Bolun	pos	洗衣机	N	28	1	galanz
2015/33	Bolun	pos	品牌	NZ	20	1	galanz
2015/38	Bolun	pos	洗衣	V	16	1	galanz
2015/38	Bolun	pos	京东	NB	15	1	galanz
2015/38	Bolun	pos	自动	A	13	1	galanz
2015/38	Bolun	pos	功能	N	13	1	galanz
2015/38	Bolun	pos	洗涤	V	13	1	galanz
2015/38	Bolun	pos	衣物	NZ	12	1	galanz
2015/38	Bolun	pos	智能	N	11	1	galanz
2015/38	Bolun	pos	价格	NZ	10	1	galanz
2015/38	Bolun	pos	内筒	NZ	10	1	galanz
2015/38	Bolun	pos	海尔	NB	9	1	galanz
2015/38	Bolun	pos	海信	NT	9	1	galanz
2015/38	Bolun	pos	控制	V	9	1	galanz
2015/33	Bolun	pos	家电	N	8	1	galanz
2015/38	Bolun	pos	参考	N	8	1	galanz
2015/38	Bolun	pos	编辑	N	8	1	galanz
2015/38	Bolun	pos	松下	NT	8	1	galanz
2015/33	Bolun	pos	线上	NZ	8	1	galanz
2015/38	Bolun	pos	格兰仕	NZ	8	1	galanz
2015/38	Bolun	pos	荣事达	NZ	8	1	galanz
2015/38	Bolun	pos	售价	NZ	8	1	galanz
2015/38	Bolun	pos	参考价	NZ	8	1	galanz
2015/38	Bolun	pos	波轮	NZ	8	1	galanz
2015/38	Bolun	pos	点评	V	8	1	galanz
2015/38	Bolun	pos	经销商	N	7	1	galanz
2015/38	Bolun	pos	商城	N	7	1	galanz
2015/38	Bolun	pos	lg	NB	7	1	galanz
2015/38	Bolun	pos	动力	NZ	7	1	galanz
2015/38	Bolun	pos	采用	V	7	1	galanz
2015/33	Bolun	pos	份额	N	6	1	galanz
2015/33	Bolun	pos	消费者	N	6	1	galanz
2015/38	Bolun	pos	程序	N	6	1	galanz
2015/38	Bolun	pos	三洋	NT	6	1	galanz
2015/38	Bolun	pos	检测	NZ	6	1	galanz
2015/38	Bolun	pos	外观	NZ	6	1	galanz
2015/33	Bolun	pos	增长	V	6	1	galanz
2015/38	Bolun	pos	拥有	V	6	1	galanz
2015/38	Bolun	pos	模糊	AZ	5	1	galanz
2015/38	Bolun	pos	家庭	N	5	1	galanz
2015/38	Bolun	pos	参数	N	5	1	galanz
2015/38	Bolun	pos	支持	V	5	1	galanz
2015/38	Bolun	pos	相关	A	4	1	galanz
2015/38	Bolun	pos	减少	AZ	4	1	galanz
2015/38	Bolun	pos	全自动	AZ	4	1	galanz
2015/33	Bolun	pos	领域	N	4	1	galanz
2015/33	Bolun	pos	线下	NZ	4	1	galanz
2015/33	Bolun	pos	质量	NZ	4	1	galanz
2015/33	Bolun	pos	差评	NZ	4	1	galanz
2015/33	Bolun	pos	波轮	NZ	4	1	galanz
2015/38	Bolun	pos	水位	NZ	4	1	galanz
2015/38	Bolun	pos	双动力	NZ	4	1	galanz
2015/38	Bolun	pos	操作	NZ	4	1	galanz
2015/38	Bolun	pos	智能控制	NZ	4	1	galanz
2015/38	Bolun	pos	浸泡	NZ	4	1	galanz
2015/38	Bolun	pos	平衡	NZ	4	1	galanz
2015/33	Bolun	pos	进入	V	4	1	galanz
2015/38	Bolun	pos	预约	V	4	1	galanz
2015/38	Bolun	pos	进行	V	4	1	galanz
2015/38	Bolun	pos	充分	A	3	1	galanz
2015/38	Bolun	pos	平稳	A	3	1	galanz
2015/38	Bolun	pos	干净	AZ	3	1	galanz
2015/38	Bolun	pos	便宜	AZ	3	1	galanz
2015/33	Bolun	pos	年报	N	3	1	galanz
2015/33	Bolun	pos	问题	N	3	1	galanz
2015/33	Bolun	pos	数据	N	3	1	galanz
2015/33	Bolun	pos	集中度	N	3	1	galanz
2015/38	Bolun	pos	过程	N	3	1	galanz
2015/38	Bolun	pos	小时	N	3	1	galanz
2015/38	Bolun	pos	时间	N	3	1	galanz
2015/33	Bolun	pos	消协	NT	3	1	galanz
2015/33	Bolun	pos	空间	NZ	3	1	galanz
2015/33	Bolun	pos	优势	NZ	3	1	galanz
2015/33	Bolun	pos	波轮洗衣机	NZ	3	1	galanz
2015/38	Bolun	pos	健康	NZ	3	1	galanz
2015/38	Bolun	pos	高效	NZ	3	1	galanz
2015/38	Bolun	pos	滚筒	NZ	3	1	galanz
2015/38	Bolun	pos	童锁	NZ	3	1	galanz
2015/38	Bolun	pos	面板	NZ	3	1	galanz
2015/38	Bolun	pos	污渍	NZ	3	1	galanz
2015/38	Bolun	pos	自检	NZ	3	1	galanz
2015/38	Bolun	pos	缠绕	NZ	3	1	galanz
2015/38	Bolun	pos	全自动洗衣机	NZ	3	1	galanz
2015/38	Bolun	pos	波轮洗衣机	NZ	3	1	galanz
2015/38	Bolun	pos	泡沫	NZ	3	1	galanz
2015/33	Bolun	pos	购买	V	3	1	galanz
2015/33	Bolun	pos	未能	V	3	1	galanz
2015/33	Bolun	pos	生存	V	3	1	galanz
2015/33	Bolun	pos	统计	V	3	1	galanz
2015/38	Bolun	pos	购买	V	3	1	galanz
2015/38	Bolun	pos	节水	V	3	1	galanz
2015/38	Bolun	pos	左右	V	3	1	galanz
2015/33	Bolun	pos	同比	VZ	3	1	galanz
2015/33	Bolun	pos	变频	VZ	3	1	galanz
2015/33	Bolun	pos	获得	VZ	3	1	galanz
2015/38	Bolun	pos	防止	VZ	3	1	galanz
2015/38	Bolun	pos	保持	VZ	3	1	galanz
2015/33	Bolun	pos	在线	A	2	1	galanz
2015/33	Bolun	pos	显然	A	2	1	galanz
2015/38	Bolun	pos	适合	A	2	1	galanz
2015/38	Bolun	pos	普通	A	2	1	galanz
2015/38	Bolun	pos	不同	A	2	1	galanz
2015/38	Bolun	pos	详细	A	2	1	galanz
2015/38	Bolun	pos	彻底	A	2	1	galanz
2015/38	Bolun	pos	很多	A	2	1	galanz
2015/38	Bolun	pos	洁净	AZ	2	1	galanz
2015/38	Bolun	pos	时尚	AZ	2	1	galanz
2015/38	Bolun	pos	实惠	AZ	2	1	galanz
2015/38	Bolun	pos	安心	AZ	2	1	galanz
2015/38	Bolun	pos	安全	AZ	2	1	galanz
2015/38	Bolun	pos	有效	AZ	2	1	galanz
2015/33	Bolun	pos	同期	N	2	1	galanz
2015/33	Bolun	pos	零售	N	2	1	galanz
2015/33	Bolun	pos	成长性	N	2	1	galanz
2015/33	Bolun	pos	时候	N	2	1	galanz
2015/33	Bolun	pos	业务	N	2	1	galanz
2015/33	Bolun	pos	维修	N	2	1	galanz
2015/33	Bolun	pos	一部	N	2	1	galanz
2015/33	Bolun	pos	智能	N	2	1	galanz
2015/33	Bolun	pos	振动	N	2	1	galanz
2015/33	Bolun	pos	集团	N	2	1	galanz
2015/38	Bolun	pos	强力	N	2	1	galanz
2015/38	Bolun	pos	高温	N	2	1	galanz
2015/38	Bolun	pos	方式	N	2	1	galanz
2015/38	Bolun	pos	蜂巢	N	2	1	galanz
2015/38	Bolun	pos	不锈钢	N	2	1	galanz
2015/38	Bolun	pos	箱体	N	2	1	galanz
2015/38	Bolun	pos	洗衣粉	N	2	1	galanz
2015/38	Bolun	pos	细节	N	2	1	galanz
2015/38	Bolun	pos	手工	N	2	1	galanz
2015/38	Bolun	pos	水温	N	2	1	galanz
2015/38	Bolun	pos	信息	N	2	1	galanz
2015/38	Bolun	pos	温度	N	2	1	galanz
2015/38	Bolun	pos	用户	N	2	1	galanz
2015/38	Bolun	pos	脱水	N	2	1	galanz
2015/38	Bolun	pos	孩子	N	2	1	galanz
2015/33	Bolun	pos	价格	NZ	2	1	galanz
2015/33	Bolun	pos	三线	NZ	2	1	galanz
2015/33	Bolun	pos	声音	NZ	2	1	galanz
2015/33	Bolun	pos	市场份额	NZ	2	1	galanz
2015/33	Bolun	pos	黑榜	NZ	2	1	galanz
2015/38	Bolun	pos	机身	NZ	2	1	galanz
2015/38	Bolun	pos	能效	NZ	2	1	galanz
2015/38	Bolun	pos	分钟	NZ	2	1	galanz
2015/38	Bolun	pos	洗涤剂	NZ	2	1	galanz
2015/38	Bolun	pos	溶解	NZ	2	1	galanz
2015/38	Bolun	pos	运行	NZ	2	1	galanz
2015/38	Bolun	pos	残留	NZ	2	1	galanz
2015/38	Bolun	pos	电机	NZ	2	1	galanz
2015/38	Bolun	pos	噪音	NZ	2	1	galanz
2015/38	Bolun	pos	调整	NZ	2	1	galanz
2015/38	Bolun	pos	超薄	NZ	2	1	galanz
2015/38	Bolun	pos	效果	NZ	2	1	galanz
2015/33	Bolun	pos	起跑	V	2	1	galanz
2015/33	Bolun	pos	来看	V	2	1	galanz
2015/33	Bolun	pos	实现	V	2	1	galanz
2015/33	Bolun	pos	挤压	V	2	1	galanz
2015/33	Bolun	pos	持平	V	2	1	galanz
2015/33	Bolun	pos	震动	V	2	1	galanz
2015/33	Bolun	pos	进行	V	2	1	galanz
2015/33	Bolun	pos	评为	V	2	1	galanz
2015/38	Bolun	pos	感知	V	2	1	galanz
2015/38	Bolun	pos	降低	V	2	1	galanz
2015/38	Bolun	pos	纠偏	V	2	1	galanz
2015/38	Bolun	pos	内置	V	2	1	galanz
2015/38	Bolun	pos	不用	V	2	1	galanz
2015/38	Bolun	pos	使用	V	2	1	galanz
2015/38	Bolun	pos	产生	V	2	1	galanz
2015/38	Bolun	pos	旋转	V	2	1	galanz
2015/38	Bolun	pos	摔打	V	2	1	galanz
2015/38	Bolun	pos	掌握	V	2	1	galanz
